Week,Sales,Transactions,Traffic,Labor_Cost_Pct,NPS,Avg_Wait_Min,Shrink_Pct,Schedule_Adherence_Pct,Task_Completion_Pct
W1,178500,3310,6900,18.9,52,8.4,3.8,74,71
W2,181200,3345,6950,18.7,53,8.1,3.8,76,73
W3,176800,3290,6820,18.4,54,7.8,3.7,78,75
W4,184900,3390,7000,18.2,55,7.5,3.6,80,78
W5,189500,3450,7040,17.9,57,7.1,3.5,82,80
W6,193200,3505,7080,17.7,59,6.8,3.4,84,83
W7,197800,3560,7120,17.5,60,6.5,3.2,86,85
W8,201400,3620,7180,17.3,62,6.2,3.1,87,87
W9,205900,3685,7220,17.1,63,5.9,3.0,88,89
W10,209300,3740,7280,16.9,64,5.7,2.8,89,91
W11,213800,3800,7330,16.8,66,5.5,2.6,90,93
W12,218600,3875,7390,16.7,67,5.3,2.5,91,95
